artist,dnce
3OH!3,68.0
5 Seconds of Summer,49.0
A Great Big World,45.0
Adam Lambert,54.5
Adele,52.3
Alan Walker,69.0
Alessia Cara,41.0
Alesso,52.0
Alicia Keys,58.666666666666664
Ansel Elgort,77.0
Ariana Grande,64.11111111111111
Austin Mahone,67.0
Avicii,57.0
Avril Lavigne,52.5
Bastille,68.0
Bebe Rexha,59.5
Beyoncé,55.625
Birdy,53.8
Britney Spears,65.33333333333333
Bruno Mars,69.6923076923077
BØRNS,61.0
CNCO,53.0
Calvin Harris,66.5
Camila Cabello,57.666666666666664
Cardi B,90.66666666666667
Carly Rae Jepsen,66.4
Cashmere Cat,56.0
Charli XCX,68.0
Charlie Puth,74.33333333333333
Chris Brown,66.66666666666667
Christina Aguilera,50.666666666666664
Christina Perri,40.333333333333336
Ciara,77.0
Clean Bandit,76.0
Coldplay,42.75
DJ Khaled,60.333333333333336
DJ Snake,74.5
DNCE,70.0
Daddy Yankee,74.0
Daft Punk,81.0
Dan + Shay,47.0
David Guetta,59.888888888888886
Demi Lovato,60.0
Disclosure,50.0
Drake,78.0
Dua Lipa,72.33333333333333
Ed Sheeran,73.45454545454545
Ellie Goulding,58.0
Emeli Sandé,56.666666666666664
Eminem,61.5
Enrique Iglesias,68.0
Far East Movement,44.0
Fergie,66.66666666666667
Fifth Harmony,80.75
Flo Rida,65.5
Florence + The Machine,37.666666666666664
G-Eazy,67.5
Galantis,74.0
Gwen Stefani,77.0
Gym Class Heroes,65.0
Hailee Steinfeld,68.33333333333333
Halsey,68.0
Harry Styles,52.0
Hayley Kiyoko,63.0
Hilary Duff,71.0
Hot Chelle Rae,69.0
Hozier,57.0
Icona Pop,71.0
Iggy Azalea,91.0
J Balvin,76.0
James Arthur,38.0
Janet Jackson,83.0
Jason Derulo,71.75
Jennifer Hudson,90.0
Jennifer Lopez,69.2
Jess Glynne,57.0
Jessie J,70.33333333333333
Jewel,51.0
Joey Montana,70.0
John Legend,47.0
John Newman,50.0
Jonas Blue,74.0
Jonas Brothers,77.33333333333333
Justin Bieber,62.6875
Justin Timberlake,67.66666666666667
Kanye West,63.0
Katy Perry,65.70588235294117
Kelly Clarkson,48.8
Kelly Rowland,65.0
Kesha,73.0
Khalid,90.0
Kygo,64.75
LMFAO,73.0
Labrinth,56.0
Lady Gaga,64.0
Lana Del Rey,59.25
Lea Michele,56.0
Lewis Capaldi,50.0
Liam Payne,68.33333333333333
Lilly Wood and The Prick,76.0
Lily Allen,78.0
Little Mix,68.2
Lizzo,69.5
Lorde,69.0
Lost Frequencies,72.0
Luis Fonsi,65.0
Lukas Graham,77.0
MAGIC!,77.0
Mabel,67.0
Macklemore & Ryan Lewis,74.66666666666667
Madonna,60.5
Major Lazer,68.0
Mariah Carey,65.5
Mark Ronson,69.0
Maroon 5,70.0
Marshmello,60.5
Martin Garrix,55.5
Martin Solveig,67.0
Meghan Trainor,72.83333333333333
Michael Jackson,78.0
Mike Posner,71.0
Miley Cyrus,56.8
Missy Elliott,88.0
Mr. Probz,83.0
MØ,70.0
N.E.R.D,92.0
Naughty Boy,32.0
Ne-Yo,66.0
Nelly Furtado,80.0
Neon Trees,47.5
Niall Horan,71.0
Nick Jonas,68.5
Nicki Minaj,74.5
Olly Murs,69.0
One Direction,62.857142857142854
OneRepublic,57.22222222222222
Owl City,56.0
P!nk,62.5
Paloma Faith,57.0
Passenger,45.0
Pharrell Williams,79.0
Pitbull,67.27272727272727
R3HAB,73.0
RedOne,75.0
Ricky Martin,80.0
Rihanna,62.06666666666667
Rita Ora,68.0
Robin Schulz,64.5
Robin Thicke,76.0
Rudimental,66.0
SHAED,62.0
Sam Smith,52.666666666666664
Sara Bareilles,55.0
Sean Kingston,72.0
Selena Gomez,70.125
Selena Gomez & The Scene,73.5
Shakira,76.33333333333333
Shawn Mendes,66.0909090909091
Sia,45.833333333333336
Sigala,69.5
Silk City,59.0
Sleeping At Last,30.0
Snakehips,60.0
Swedish House Mafia,61.0
T.I.,45.0
Taio Cruz,71.0
Taylor Swift,63.5
The Black Eyed Peas,72.0
The Chainsmokers,65.27272727272727
The Script,42.0
The Wanted,61.0
The Weeknd,65.4
Tinie Tempah,64.0
Tove Lo,72.0
Train,67.0
Troye Sivan,70.0
Usher,72.0
Wiz Khalifa,69.0
Years & Years,71.0
ZAYN,52.2
Zara Larsson,58.0
Zedd,61.166666666666664
fun.,52.5
will.i.am,80.0
