feat1,feat2,val
bpm,bpm,1.0
bpm,nrgy,0.12617006494310265
bpm,dnce,-0.1313006710419889
bpm,dB,0.18386982912017402
bpm,live,0.08157927768549562
bpm,val,0.016020943349025596
bpm,dur,-0.029359073909431918
bpm,acous,-0.11325676496802563
bpm,spch,0.05899880322391057
bpm,pop,0.018982982132633525
nrgy,bpm,0.12617006494310265
nrgy,nrgy,1.0
nrgy,dnce,0.16720892660416942
nrgy,dB,0.5375280390654388
nrgy,live,0.18673760666851563
nrgy,val,0.4095772971610544
nrgy,dur,-0.1436102026495315
nrgy,acous,-0.5622874424326886
nrgy,spch,0.10731344575710781
nrgy,pop,-0.05764503617766639
dnce,bpm,-0.1313006710419889
dnce,nrgy,0.16720892660416942
dnce,dnce,1.0
dnce,dB,0.23317005692972542
dnce,live,-0.02880145162081642
dnce,val,0.5016961890764096
dnce,dur,-0.17684087200297693
dnce,acous,-0.24006401650758794
dnce,spch,-0.02804130521521668
dnce,pop,0.11605444461442103
dB,bpm,0.18386982912017402
dB,nrgy,0.5375280390654388
dB,dnce,0.23317005692972542
dB,dB,1.0
dB,live,0.08193404726745845
dB,val,0.2829218687568004
dB,dur,-0.10472341680361111
dB,acous,-0.19040107025558028
dB,spch,-0.0011095126853751477
dB,pop,0.1568972163250778
live,bpm,0.08157927768549562
live,nrgy,0.18673760666851563
live,dnce,-0.02880145162081642
live,dB,0.08193404726745845
live,live,1.0
live,val,0.02022604589949667
live,dur,0.09833929181199252
live,acous,-0.09816711336205157
live,spch,0.14410321131253423
live,pop,-0.0757490546740142
val,bpm,0.016020943349025596
val,nrgy,0.4095772971610544
val,dnce,0.5016961890764096
val,dB,0.2829218687568004
val,live,0.02022604589949667
val,val,1.0
val,dur,-0.26225572989548146
val,acous,-0.2490382013407257
val,spch,0.12201258781435807
val,pop,0.038952586635759685
dur,bpm,-0.029359073909431918
dur,nrgy,-0.1436102026495315
dur,dnce,-0.17684087200297693
dur,dB,-0.10472341680361111
dur,live,0.09833929181199252
dur,val,-0.26225572989548146
dur,dur,1.0
dur,acous,0.09180218338638162
dur,spch,0.05456351106611327
dur,pop,-0.1043627531548554
acous,bpm,-0.11325676496802563
acous,nrgy,-0.5622874424326886
acous,dnce,-0.24006401650758794
acous,dB,-0.19040107025558028
acous,live,-0.09816711336205157
acous,val,-0.2490382013407257
acous,dur,0.09180218338638162
acous,acous,1.0
acous,spch,0.002762547324119213
acous,pop,0.02670353364616183
spch,bpm,0.05899880322391057
spch,nrgy,0.10731344575710781
spch,dnce,-0.02804130521521668
spch,dB,-0.0011095126853751477
spch,live,0.14410321131253423
spch,val,0.12201258781435807
spch,dur,0.05456351106611327
spch,acous,0.002762547324119213
spch,spch,1.0
spch,pop,-0.04149018806161329
pop,bpm,0.018982982132633525
pop,nrgy,-0.05764503617766639
pop,dnce,0.11605444461442103
pop,dB,0.1568972163250778
pop,live,-0.0757490546740142
pop,val,0.038952586635759685
pop,dur,-0.1043627531548554
pop,acous,0.02670353364616183
pop,spch,-0.04149018806161329
pop,pop,1.0
